Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,CCAFS,Dragon,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,8 December 2010,18:45
3,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0004.1,"No attempt
",22 May 2012,15:43
4,CCAFS,SpaceX CRS-1,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0005.1,No attempt,8 October 2012,15:43
5,CCAFS,SpaceX CRS-2,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0006.1,"No attempt
",1 March 2013,07:44
6,VAFB,CASSIOPE,500 kg,Polar orbit,MDA,Success,F9 v1.0B0007.1,Uncontrolled,29 September 2013,07:44
7,CCAFS,SES-8,"3,170 kg",GTO,SES,Success,F9 v1.1B1003,No attempt,3 December 2013,00:35
8,CCAFS,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,00:35
9,Cape Canaveral,SpaceX CRS-3,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,15:10
10,Cape Canaveral,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:10
11,Cape Canaveral,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,16:00
12,Cape Canaveral,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",7 September 2014,16:00
13,Cape Canaveral,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,21 September 2014,22:41
14,Cape Canaveral,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,10 January 2015,22:41
15,Cape Canaveral,DSCOVR,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,11 February 2015,22:06
16,Cape Canaveral,ABS-3A,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,2 March 2015,22:06
17,Cape Canaveral,SpaceX CRS-6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,14 April 2015,19:25
18,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,27 April 2015,19:25
19,Cape Canaveral,SpaceX CRS-7,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,28 June 2015,15:15
20,Cape Canaveral,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,22 December 2015,15:15
21,VAFB,Jason-3,553 kg,LEO,NASA,"Success
",F9 FT,Failure,17 January 2016,08:00
22,Cape Canaveral,SES-9,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Failure,4 March 2016,08:00
23,Cape Canaveral,SpaceX CRS-8,"3,136 kg",LEO,NASA,Success,F9 FT,Success,8 April 2016,05:00
24,Cape Canaveral,JCSAT-14,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,6 May 2016,05:00
25,Cape Canaveral,Thaicom 8,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,27 May 2016,05:52
26,Cape Canaveral,ABS-2A,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,15 June 2016,05:52
27,Cape Canaveral,SpaceX CRS-9,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,18 July 2016,09:47
28,Cape Canaveral,JCSAT-16,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,14 August 2016,09:47
29,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,14 January 2017,23:03
30,KSC,SpaceX CRS-10,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,19 February 2017,23:03
31,KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,16 March 2017,03:50
32,KSC,SES-10,"5,300 kg",GTO,SES,Success,F9 FT,Success,30 March 2017,03:50
33,KSC,NROL-76,C,LEO,NRO,"Success
",F9 FT♺,Success,1 May 2017,20:10
34,KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT,No attempt,15 May 2017,20:10
35,KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",F9 FT,Success,3 June 2017,23:03
36,KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FT,Success,23 June 2017,23:03
37,VAFB,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FTB1029.2,Success,25 June 2017,14:21
38,KSC,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",F9 FT,No attempt,5 July 2017,14:21
39,KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",F9 FT,Success,14 August 2017,01:29
40,VAFB,Formosat-5,475 kg,SSO,NSPO,"Success
",F9 B4,Success,24 August 2017,01:29
41,KSC,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",F9 FT,Success,7 September 2017,18:42
42,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4,Success,9 October 2017,18:42
43,KSC,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",F9 B4,Success,11 October 2017,23:35
44,KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",F9 FTB1031.2,Success,30 October 2017,23:35
45,Cape Canaveral,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",F9 B4,Success,15 December 2017,20:43
46,VAFB,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1035.2,Controlled,23 December 2017,20:43
47,CCAFS,Zuma,C,LEO,Northrop Grumman,Success,F9 FTB1036.2,Success,8 January 2018,05:21
